icp_rank,company,location,phone,email,website,service_lines,adjacent_service_lines,estimated_size_signal,icp_score,evidence_tier,score_service_fit,score_complexity,score_scale,score_data_confidence,source,source_url,evidence_urls
1,Fusion Waste & Recycling,"Garland, TX | Mesquite, TX | Plano, TX",972-675-7767,service@fusionwaste.com,https://fusionwaste.com/,roll-off | residential | commercial | recycling,construction & demolition | compactor,"400 lbs Best for: Small offices and restaurants, under 25 employees; optional casters available 3-Yard Front Load Dumpster | ~600 lbs Best for: Small businesses and retail, under 50 employees; optional casters available 4-Yard Front Load Dumpster | 00 lbs Best for: Midsize restaurants and retail, under 100 employees; optional casters available 6-Yard Front Load Dumpster",100,High,40,20,20,20,City of Garland — Approved Franchise Haulers | City of Mesquite — Permitted Recycling Haulers | City of Plano — C&D Permitted Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800 | https://www.cityofmesquite.com/2080/Permitted-Recycling-Haulers | https://www.garlandtx.gov/3771/Approved-Hauler-List,https://fusionwaste.com/ | https://fusionwaste.com/dallas/compactor-recycling-service/ | https://fusionwaste.com/dallas/front-load-dumpster-services/ | https://fusionwaste.com/dallas/trash-service/ | https://fusionwaste.com/dumpsters/10-yard/
2,Brazos Valley Recycling,"College Station, TX",979-260-0006,info@bigcompany.com,https://www.bvrwasteandrecycling.com/,roll-off | residential | commercial | recycling,portable toilet | construction & demolition,"ct size for small restaurants and companies with up to 25 employees Get Started Holds: 1,200 pounds Best Use: Ideal for mi | Best Use: Ideal for mid to large businesses with up to 250 employees Get Started Holds: 800 pounds Best Use: Best for midsi | Best for midsize restaurants and companies with up to 100 employees Get Started Holds: 1800 pounds Best Use: Our largest r",98,High,40,20,20,18,City of College Station — Franchised Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/,https://www.bvrwasteandrecycling.com/ | https://www.bvrwasteandrecycling.com/_files/ugd/9f9918_d5b7497bb9344dfa8f7da09800e991ba.pdf | https://www.bvrwasteandrecycling.com/commercial-roll-off-dumpsters | https://www.bvrwasteandrecycling.com/front-load-dumpsters | https://www.bvrwasteandrecycling.com/residential-roll-off-dumpsters
3,Frontier Waste Solutions,"College Station, TX | Garland, TX | New Braunfels, TX",210-807-8555,Not verified,https://frontierwaste.com/,roll-off | residential | commercial | recycling,construction & demolition,ct size for small restaurants and companies with up to 25 employees Features We can accommodate a 2 yard container on whee | y Up to 6x a week Best Use Ideal businesses with up to 50 employees Features We can accommodate a 3 yard container on whee | Best for midsize restaurants and companies with up to 100 employees Features We can accommodate a 4 yard container on whee,97,High,40,20,20,17,City of College Station — Franchised Haulers | City of Garland — Approved Franchise Haulers | City of New Braunfels — Permitted Private Haulers,https://www.cstx.gov/living-here/trash-and-recycling/commercial-services/ | https://www.garlandtx.gov/3771/Approved-Hauler-List | https://www.newbraunfels.gov/4032/Community-Resources,https://frontierwaste.com/ | https://frontierwaste.com/austin-trash-pickup-services/ | https://frontierwaste.com/commercial-trash-pickup-service/ | https://frontierwaste.com/corpus-christi-trash-pickup-services/ | https://frontierwaste.com/dallas-trash-pickup-services/
4,Waste Connections,"Austin, TX | Weatherford, TX",844-708-7274,Not verified,https://www.wasteconnections.com/,roll-off | residential | commercial | recycling,construction & demolition,"' L x 3'6"" W x 3'10"" H Ideal for businesses with up to 50 employees. 3 yard dumpster 4 yard commercial dumpster Capacity: | ' L x 6'10"" W x 4'3"" H For large businesses with up to 500 employees. 8 yard dumpster Get Prices Residential Cart Sizes Car",97,High,40,20,20,17,City of Austin — URO Licensed Haulers | City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers | https://www.austintexas.gov/resource-recovery/universal-recycling-ordinance-uro-licensed-haulers,https://www.wasteconnections.com/ | https://www.wasteconnections.com/customer-service-broken-container | https://www.wasteconnections.com/customer-service-i-am-moving | https://www.wasteconnections.com/customer-service-missed-pick-up | https://www.wasteconnections.com/dumpster-sizes
5,Frontier Waste Texas,"Weatherford, TX",817-233-9840,Not verified,https://frontierwaste.com/,roll-off | residential | commercial | recycling,construction & demolition,ct size for small restaurants and companies with up to 25 employees Features We can accommodate a 2 yard container on whee | y Up to 6x a week Best Use Ideal businesses with up to 50 employees Features We can accommodate a 3 yard container on whee | Best for midsize restaurants and companies with up to 100 employees Features We can accommodate a 4 yard container on whee,95,High,40,20,20,15,City of Weatherford — Approved Commercial Waste Haulers,https://weatherfordtx.gov/3545/Approved-Commercial-Waste-Haulers,https://frontierwaste.com/ | https://frontierwaste.com/austin-trash-pickup-services/ | https://frontierwaste.com/commercial-trash-pickup-service/ | https://frontierwaste.com/corpus-christi-trash-pickup-services/ | https://frontierwaste.com/dallas-trash-pickup-services/
6,Ranger Waste Management LLC,"Garland, TX",972-413-0365,Not verified,https://rangerwaste.com/,roll-off | residential | commercial,construction & demolition | compactor,-time delivery and fewer headaches for you. ✓ New Hino 338 truck fleet ✓ HYVA Hook Lift hook system ✓ Maintained to the highe,95,High,40,20,20,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://rangerwaste.com/ | https://rangerwaste.com/services | https://rangerwaste.com/about | https://rangerwaste.com/contact
7,Waste Connections / IESI / Progressive Waste Solutions,"Garland, TX",972-289-6587,Not verified,https://www.wasteconnections.com/,roll-off | residential | commercial | recycling,construction & demolition,"' L x 3'6"" W x 3'10"" H Ideal for businesses with up to 50 employees. 3 yard dumpster 4 yard commercial dumpster Capacity: | ' L x 6'10"" W x 4'3"" H For large businesses with up to 500 employees. 8 yard dumpster Get Prices Residential Cart Sizes Car",95,High,40,20,20,15,City of Garland — Approved Franchise Haulers,https://www.garlandtx.gov/3771/Approved-Hauler-List,https://www.wasteconnections.com/ | https://www.wasteconnections.com/customer-service-broken-container | https://www.wasteconnections.com/customer-service-i-am-moving | https://www.wasteconnections.com/customer-service-missed-pick-up | https://www.wasteconnections.com/dumpster-sizes
8,Waste Connections of Texas LLC,"Houston, TX",844-708-7274,Not verified,https://www.wasteconnections.com/,roll-off | residential | commercial | recycling,construction & demolition,"' L x 3'6"" W x 3'10"" H Ideal for businesses with up to 50 employees. 3 yard dumpster 4 yard commercial dumpster Capacity: | ' L x 6'10"" W x 4'3"" H For large businesses with up to 500 employees. 8 yard dumpster Get Prices Residential Cart Sizes Car",95,High,40,20,20,15,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,https://www.wasteconnections.com/ | https://www.wasteconnections.com/customer-service-broken-container | https://www.wasteconnections.com/customer-service-i-am-moving | https://www.wasteconnections.com/customer-service-missed-pick-up | https://www.wasteconnections.com/dumpster-sizes
9,"Jaguar Waste Management, LLC","Plano, TX",972-535-1918,info@jaguarwastemanagement.com,https://jaguarwastemanagement.com/,roll-off | commercial | recycling,construction & demolition | compactor,Not verified,85,High,40,20,5,20,City of Plano — C&D Permitted Haulers | City of Plano — General Permitted Haulers,https://content.civicplus.com/api/assets/a1b2b099-3346-482b-8fd8-e009a14f449b?cache=1800 | https://content.civicplus.com/api/assets/tx-plano/92895e8f-c9f6-4259-88b6-ac913cae7660?cache=1800,https://jaguarwastemanagement.com/ | https://jaguarwastemanagement.com/about-us/dumpster-sizes-specifications/ | https://jaguarwastemanagement.com/about-us/get-a-free-dumpster-rental-quote-today/ | https://jaguarwastemanagement.com/about-us/service-area/ | https://jaguarwastemanagement.com/about-us/what-can-go-in-our-dumpsters/
10,Astro Waste,"Houston, TX",713-849-3554,info@astrowaste.com,http://www.astrowaste.com/,roll-off | commercial | recycling,construction & demolition | compactor,Not verified,83,High,40,20,5,18,City of Houston — Franchised Commercial Solid Waste Haulers,https://www.houstontx.gov/ara/franchise/solid_waste_hauler_operators.pdf,http://www.astrowaste.com/ | http://www.astrowaste.com/services.html | http://www.astrowaste.com/about-us.html | http://www.astrowaste.com/quote-and-contact-us.html
